company name ;ticker;permno
American International Group Inc. ; AIG;66800
The Allstate Corp. ; ALL;79323
Berkshire Hathaway Inc. ; BRK;83443
MetLife Inc. ; MET;87842
 Prudential Financial Inc. ; PRU ;89258
Bank of America Corp. ; BAC;59408
Citigroup Inc. ; C;70519
The Goldman Sachs Group Inc. ; GS;86868
J.P. Morgan Chase & Co. ; JPM;47896
Lehman Brothers Holdings Inc.; LEH;80599
Morgan Stanley ; MS;69032
American Express Co. ; AXP;59176
Bank of New York Mellon Corp. ; BK;49656
Capital One Financial Corp. ; COF;81055
PNC Financial Services Inc. ; PNC;60442
State Street Corp. ; STT;72726
US Bancorp ; USB;36127
Wells Fargo & Co. ; WFC;38703
Freddie Mac ; FMCC;75789
Fannie Mae ; FNMA;51043